,PARTIDO,,,,PARTIDO,,,,PARTIDO,,PARTIDO,,PARTIDO,,PARTIDO,,,
,ALIANZA,,,,NACIONALISTA,,PARTIDO,,REVOLUCIONARIO,,REVOLUCIONARIO,,UNION,,VANGUARDIA,,,
,SOCIAL,,PARTIDO,,REVOCIONARIO,,REVOLUCIONARIO,,DOMINICANO,,SOCIAL,,CIVICA,,REVOLUCIONARIA,,TOTALES,
,DEMOCRATA,,NACIONAL,,DEMOCRATA,,DOMINICANO,,AUTENTICO,,CRISTIANO,,NACIONAL,,DOMINICANA,,CANDIDATURAS,
,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS
MONTECRISTI,"1,068","1,083",,36,49,49,"2,692","2,149",,,83,95,901,"1,098",,355,"4,793","4,865"
PEPILLO SANCEDO,301,303,39,13,13,12,"1,775","1,726",,,99,111,578,560,103,124,"2,908","2,849"
VILLA VASQUEZ,"1,204","1,312",,30,42,41,"2,594","2,201",,,166,208,"2,087","2,133",,240,"6,093","6,165"
PROVINCIA DE PUERTO PLATA,274,283,64,155,101,97,"25,682","23,373",0,0,389,393,"26,245","26,205",646,"2,832","53,401","53,338"
ALTAMIRA,36,36,,32,16,16,"6,490","6,177",,,62,62,"3,989","3,989",,281,"10,593","10,593"
IMBERT,10,10,,13,13,13,"3,031","2,731",,,43,43,"2,113","2,113",,287,"5,210","5,210"
LUPERON,51,51,,44,25,25,"7,263","5,614",,,106,106,"4,447","4,447",,"1,605","11,892","11,892"
PUERTO PLATA,177,186,64,66,47,43,"8,898","8,851",,,178,182,"15,696","15,656",646,659,"25,706","25,643"
PROVINCIA DE SANTIAGO,"2,015","2,096",138,538,"1,732","1,759","39,108","36,994",0,0,"8,976","9,189","53,946","53,604",305,"1,952","106,220","106,132"
JANICO,57,57,13,13,24,24,"1,145","1,145",,,"1,973","1,973","3,663","3,663",60,60,"6,935","6,935"
SAN JOSE DE LAS MATAS,79,81,,29,236,233,"2,847","2,649",,,"3,477","3,496","5,172","5,140",,160,"11,811","11,788"
SANTIAGO,"1,803","1,882",,364,"1,419","1,449","29,272","27,436",,,"3,056","3,250","41,205","40,895",,"1,414","76,755","76,690"
TAMBORIL,33,33,125,125,32,32,"3,977","3,977",,,426,426,"2,302","2,302",245,245,"7,140","7,140"
VILLA BISONO,43,43,,7,21,21,"1,867","1,787",,,44,44,"1,604","1,604",,73,"3,579","3,579"
PROVINCIA SANTIAGO RODRIGUEZ,624,634,0,54,86,86,"7,606","7,147",0,0,314,312,"4,737","4,738",0,391,"13,367","13,362"
MONCION,31,30,,3,13,13,"1,337","1,267",,,34,32,877,882,,63,"2,292","2,290"
SANTIAGO RODRIGUEZ,593,604,,51,73,73,"6,269","5,880",,,280,280,"3,860","3,856",,328,"11,075","11,072"
PROVINCIA VALVERDE,374,441,51,45,131,111,"13,699","13,628",0,0,685,673,"8,642","8,548",293,277,"23,875","23,723"
ESPERANZA,116,116,,,41,41,"7,203","7,203",,,358,358,"3,383","3,383",,,"11,101","11,101"
VALVERDE,258,325,,,90,70,"6,496","6,425",,,327,315,"5,259","5,165",293,277,"12,723","12,577"
TOTAL,"17,898","18,726","1,667","4,161","35,764","36,972","619,491","592,088","1,273","5,306","54,638","56,794","317,273","315,371","6,886","18,586","1,054,944","1,048,004"
